doctor_id,first_name,last_name,speciality,age,sex
1,Yavor,Denev,neurology,55,m
2,Martin,Katev,psychiatry,46,m
3,Krasen,Borislavov,ortopedics,58,m
4,Milena,Stefanova,endocrinology,28,f
5,Kalina,Kovacheva,anesthesiology,25,f
6,Stefan,Mitev,gastroenterology,28,m
7,Ventsislav,Mutafchiiski,nephrology,65,m
8,Alexander,Simidchiev,gastroenterology,28,m
9,Valeri,Bojinov,gynecology,34,m
10,Marin,Kerchev,urology,53,m
11,Anna-Victoria,Galeva,cardiology,45,f
12,Mihaela,Dacheva,anesthesiology,33,f
13,Georgi,Konstantinov,internal diseases,40,m
14,Mert,Mehmedov,cardiology,37,m
15,Anatoli,Mihaylov,dermatology,52,m
16,Malena,Dimitrova,urology,28,f
17,Tsvetomira,Parvanova,rheumatology,34,f
18,Selin,Kenan,ophthalmology,27,f
19,Nazli,Kerim,surgery,25,f
20,Ali,Vefa,surgery,27,m
